dataset,strategy,bins_a,bins_b,spearman,rbo,top3_overlap
adult_income,uniform,3,4,0.7758241758241758,0.9169543088469121,3
adult_income,uniform,3,5,0.8109890109890111,0.8467779114333764,2
adult_income,uniform,3,6,0.6087912087912088,0.8114347739509047,2
adult_income,uniform,4,5,0.7802197802197802,0.8483977867378214,2
adult_income,uniform,4,6,0.6483516483516484,0.8462252518418136,2
adult_income,uniform,5,6,0.7846153846153847,0.880817266127528,3
adult_income,quantile,3,4,0.9427312775330398,0.9349278197499997,3
adult_income,quantile,3,5,0.9162995594713657,0.9372880014633767,3
adult_income,quantile,3,6,0.8986784140969164,0.8884137965733765,3
adult_income,quantile,4,5,0.9867841409691631,0.9761161817133766,3
adult_income,quantile,4,6,0.9735682819383259,0.9272419768233764,3
adult_income,quantile,5,6,0.9911894273127755,0.9511257951099998,3
adult_income,kmeans,3,4,0.9252747252747253,0.9709219106317175,3
adult_income,kmeans,3,5,0.5780219780219781,0.8180295191317175,2
adult_income,kmeans,3,6,0.6703296703296703,0.8517546993817176,2
adult_income,kmeans,4,5,0.5736263736263736,0.8174815137369122,2
adult_income,kmeans,4,6,0.6791208791208792,0.8490388132876623,2
adult_income,kmeans,5,6,0.9604395604395607,0.9604899274483409,3
