dataset,bins,strategy_a,strategy_b,spearman,rbo,top3_overlap
adult_income,3,uniform,quantile,0.026402656240833464,0.5464783584726223,1
adult_income,3,uniform,kmeans,0.9208791208791209,0.9550024195226265,3
adult_income,3,quantile,kmeans,0.12321239579055618,0.5540703727583365,1
adult_income,4,uniform,quantile,0.2508252342879179,0.5971998816492456,1
adult_income,4,uniform,kmeans,0.9428571428571428,0.9729891315742856,3
adult_income,4,quantile,kmeans,0.1804181509790287,0.5788461871135313,1
adult_income,5,uniform,quantile,0.27942811188215416,0.6743028816492456,2
adult_income,5,uniform,kmeans,0.767032967032967,0.9260157392726265,3
adult_income,5,quantile,kmeans,0.2772278905287514,0.6826419126492456,2
adult_income,6,uniform,quantile,0.20682080721986212,0.6277889965092456,2
adult_income,6,uniform,kmeans,0.9472527472527472,0.9355764916632421,3
adult_income,6,quantile,kmeans,0.26402656240833466,0.6814461703992455,2
adult_income,8,uniform,quantile,0.3256327603036127,0.6874248816492455,2
adult_income,8,uniform,kmeans,0.9824175824175824,0.9810931076983409,3
adult_income,8,quantile,kmeans,0.33003320301041833,0.6874248816492455,2
