dataset,strategy,bins,accuracy
adult_income,uniform,3,0.833230565224598
adult_income,uniform,4,0.8362904027846843
adult_income,uniform,5,0.8381634344438917
adult_income,uniform,6,0.837550140891762
adult_income,uniform,8,0.8334692524448861
adult_income,quantile,3,0.8084137245151668
adult_income,quantile,4,0.8133631692358692
adult_income,quantile,5,0.8128592739930383
adult_income,quantile,6,0.809322061992375
adult_income,quantile,8,0.8087551798441901
adult_income,kmeans,3,0.8354085861097298
adult_income,kmeans,4,0.8347687717553458
adult_income,kmeans,5,0.8355677109232558
adult_income,kmeans,6,0.8378020885131776
adult_income,kmeans,8,0.8353621747057849
