,usefulness,permutation,shap,lime
race,0.019729107808626183,0.003691586827665057,0.009359605734837597,0.012457530384701217
sex,0.013522650051444334,0.010966967451630949,0.013047743878549269,0.013771534282241815
age,0.05542225870233141,0.06990112852994272,0.0865324330661642,0.048262702922318323
fnlwgt,0.030662573301177956,0.007002166892232403,0.0286739802983874,0.011354777286371845
workclass,0.036100335484249874,0.02992266767819525,0.02818772307750744,0.01317708290901947
education,0.028382341669729375,0.01978436113118946,0.036935201099123904,0.018838727294618735
education-num,0.15527095631097595,0.17873882770674443,0.1752085848270992,0.09680513623550153
marital-status,0.016593008183101256,0.011590123071320573,0.007556227927685344,0.01182448909355069
occupation,0.05360950682990919,0.08532716189402527,0.06104621032070405,0.0340183032456279
relationship,0.17308933781214914,0.28790037929350104,0.3346906607369417,0.16419493248580114
capital-gain,0.23058656273173908,0.21675986624897792,0.11398194958603318,0.398618920637873
capital-loss,0.1104317549218746,0.035823978297048295,0.033538346451067985,0.12056574648689936
hours-per-week,0.059379659249155,0.03963966280310453,0.0646496115669016,0.03931660689269021
native-country,0.017219946943536745,0.002951122174422146,0.006591721428997103,0.01679350984278471
