method,n_instances,time_s
usefulness,25,0.9782458419977047
mdi,25,0.00012183800208731554
permutation,25,0.0649441179994028
shap,25,0.006793846001528436
lime,25,0.16751424300309736
usefulness,50,1.058155226000963
mdi,50,0.00011133400039398111
permutation,50,0.06598916399889276
shap,50,0.012840150000556605
lime,50,0.3078923719986051
usefulness,100,1.0531952169985743
mdi,100,0.00011882499893545173
permutation,100,0.06666559400036931
shap,100,0.02463373600039631
lime,100,0.5936752960005833
usefulness,200,1.0492893459995685
mdi,200,0.0001156959988293238
permutation,200,0.0674844450004457
shap,200,0.04794866899828776
lime,200,1.1656591849969118
usefulness,400,1.048757946002297
mdi,400,0.00012331700054346584
permutation,400,0.068896192999091
shap,400,0.09570567300033872
lime,400,2.314387426002213
usefulness,800,1.1572561339999083
mdi,800,0.00012581000191858038
permutation,800,0.082454299001256
shap,800,0.21204935900095734
lime,800,5.116752305999398
