method,budget,time_s,spearman_to_converged
shap,10.0,0.0030611609981860965,0.9120879120879121
shap,25.0,0.006478235001850408,0.9736263736263736
shap,50.0,0.012380798001686344,0.9252747252747253
shap,100.0,0.02422584599844413,0.9824175824175824
shap,200.0,0.04763409299994237,0.9956043956043955
shap,400.0,0.0949846850016911,1.0
permutation,1.0,0.026340279000578448,0.9296703296703297
permutation,2.0,0.04727915400144411,0.9912087912087912
permutation,5.0,0.11250916700009839,1.0
permutation,10.0,0.22258097600206384,0.9989004944448661
permutation,20.0,0.4390282959975593,0.9989004944448661
permutation,50.0,1.099947616999998,1.0
lime,10.0,0.08284209399789688,0.9736263736263736
lime,25.0,0.16835558800084982,0.9912087912087912
lime,50.0,0.3074342279978737,0.9912087912087912
lime,100.0,0.5919558829991729,0.9956043956043955
lime,200.0,1.1587140529991302,1.0
lime,400.0,2.2882391450002615,1.0
usefulness,,1.0709073729994998,1.0
mdi,,0.00011973099753959104,1.0
