dataset,strategy,bins,feature,q1,median,q3,mean_accuracy
adult_income,uniform,3,native-country,129582.0,268092.0,358815.0,0.8347118625338417
adult_income,uniform,3,fnlwgt,176058.0,312822.0,457613.25,0.8347118625338417
adult_income,uniform,3,race,206977.5,325292.5,461932.5,0.8347118625338417
adult_income,uniform,3,occupation,252939.0,434704.5,605241.0,0.8347118625338417
adult_income,uniform,3,sex,295692.0,474101.0,662734.5,0.8347118625338417
adult_income,uniform,3,workclass,364242.75,538434.0,680816.25,0.8347118625338417
adult_income,uniform,3,hours-per-week,387798.75,594634.5,780537.0,0.8347118625338417
adult_income,uniform,3,age,402471.0,628761.0,816277.5,0.8347118625338417
adult_income,uniform,3,relationship,688238.25,837076.5,983982.75,0.8347118625338417
adult_income,uniform,3,education,743377.5,854394.0,963576.75,0.8347118625338417
adult_income,uniform,3,capital-loss,991757.25,1127164.5,1265253.75,0.8347118625338417
adult_income,uniform,3,education-num,1541701.5,1761450.0,1925811.0,0.8347118625338417
adult_income,uniform,3,marital-status,2299920.75,2466012.0,2662373.25,0.8347118625338417
adult_income,uniform,3,capital-gain,3073176.75,3276804.0,3490299.0,0.8347118625338417
adult_income,uniform,4,native-country,2419104.0,4301592.0,6888078.0,0.8386336261671916
adult_income,uniform,4,sex,4782552.0,8134272.0,12013110.0,0.8386336261671916
adult_income,uniform,4,race,5163535.0,9730600.0,14107260.0,0.8386336261671916
adult_income,uniform,4,education,7090572.0,10932516.0,14515918.0,0.8386336261671916
adult_income,uniform,4,occupation,9169112.0,13940736.0,19601464.0,0.8386336261671916
adult_income,uniform,4,workclass,9659628.0,14164636.0,19989340.0,0.8386336261671916
adult_income,uniform,4,fnlwgt,10832736.0,15633032.0,20458642.0,0.8386336261671916
adult_income,uniform,4,relationship,8254464.0,15988304.0,21289190.0,0.8386336261671916
adult_income,uniform,4,age,17582386.0,24380668.0,31176552.0,0.8386336261671916
adult_income,uniform,4,hours-per-week,26863968.0,34426132.0,41439618.0,0.8386336261671916
adult_income,uniform,4,capital-loss,40058910.0,48466770.0,55448662.0,0.8386336261671916
adult_income,uniform,4,education-num,54948896.0,61358868.0,68227603.0,0.8386336261671916
adult_income,uniform,4,marital-status,72103620.0,82321244.0,90339013.0,0.8386336261671916
adult_income,uniform,4,capital-gain,105715172.0,111766528.0,120735416.0,0.8386336261671916
adult_income,uniform,5,native-country,19074427.5,41090097.5,79707087.5,0.8399088347422511
adult_income,uniform,5,race,51307275.0,79383025.0,112303015.0,0.8399088347422511
adult_income,uniform,5,sex,66686922.5,120786007.0,179061319.5,0.8399088347422511
adult_income,uniform,5,workclass,120331612.5,173253812.5,227289968.75,0.8399088347422511
adult_income,uniform,5,hours-per-week,129417287.5,176558720.0,229649137.5,0.8399088347422511
adult_income,uniform,5,education,150336107.5,197795105.0,245356576.25,0.8399088347422511
adult_income,uniform,5,fnlwgt,154659522.5,207770650.0,269642542.5,0.8399088347422511
adult_income,uniform,5,occupation,197222150.0,276300962.5,355248507.5,0.8399088347422511
adult_income,uniform,5,age,332456731.25,423428927.5,501255145.0,0.8399088347422511
adult_income,uniform,5,marital-status,861037643.75,914984610.0,976524422.5,0.8399088347422511
