dataset,strategy,bins_a,bins_b,spearman,rbo,top3_overlap
bike_sharing,uniform,3,4,0.9160839160839163,0.91481529511,2
bike_sharing,uniform,3,5,0.6503496503496504,0.8101108054642857,1
bike_sharing,uniform,3,6,0.9300699300699302,0.9280822744642858,2
bike_sharing,uniform,4,5,0.6923076923076924,0.8375836005742858,1
bike_sharing,uniform,4,6,0.9160839160839163,0.9325915695742858,2
bike_sharing,uniform,5,6,0.7272727272727274,0.8548870799285715,2
bike_sharing,quantile,3,4,0.7762237762237763,0.82216764586,1
bike_sharing,quantile,3,5,0.7482517482517484,0.9019915862885715,2
bike_sharing,quantile,3,6,0.8811188811188813,0.9325471005742858,2
bike_sharing,quantile,4,5,0.5874125874125874,0.8423671172885714,2
bike_sharing,quantile,4,6,0.6433566433566434,0.8598006315742857,2
bike_sharing,quantile,5,6,0.9510489510489512,0.9694444857142857,3
bike_sharing,kmeans,3,4,0.8391608391608393,0.8760498197500001,2
bike_sharing,kmeans,3,5,0.7902097902097903,0.8526375942142856,2
bike_sharing,kmeans,3,6,0.9580419580419581,0.9260577887500001,3
bike_sharing,kmeans,4,5,0.9440559440559443,0.9315877744642859,3
bike_sharing,kmeans,4,6,0.9300699300699302,0.89901331975,2
bike_sharing,kmeans,5,6,0.8811188811188813,0.9265798054642858,2
