dataset,bins,strategy_a,strategy_b,spearman,rbo,top3_overlap
bike_sharing,3,uniform,quantile,0.9090909090909092,0.9717933893242856,3
bike_sharing,3,uniform,kmeans,0.8881118881118882,0.9173205942142858,2
bike_sharing,3,quantile,kmeans,0.9440559440559443,0.9377787951099998,2
bike_sharing,4,uniform,quantile,0.6363636363636365,0.8547421005742858,2
bike_sharing,4,uniform,kmeans,0.6223776223776225,0.8645836005742856,2
bike_sharing,4,quantile,kmeans,0.9860139860139862,0.98417978875,3
bike_sharing,5,uniform,quantile,0.6643356643356644,0.8363884060385713,2
bike_sharing,5,uniform,kmeans,0.9860139860139862,0.9631585,2
bike_sharing,5,quantile,kmeans,0.5944055944055945,0.8363884060385713,2
bike_sharing,6,uniform,quantile,0.9720279720279721,0.99134282611,3
bike_sharing,6,uniform,kmeans,0.9230769230769231,0.9184657744642859,3
bike_sharing,6,quantile,kmeans,0.8391608391608393,0.9098086005742857,3
bike_sharing,8,uniform,quantile,0.9580419580419581,0.9739093118242856,3
bike_sharing,8,uniform,kmeans,0.7902097902097903,0.8915836005742857,3
bike_sharing,8,quantile,kmeans,0.8601398601398602,0.8963665695742856,3
