,usefulness,permutation,shap,lime
season,0.07999262273341137,0.07416994151596926,0.06871566035414739,0.07759236550141525
yr,0.09401392182045906,0.07189483054219538,0.12174467186044384,0.1860328287053245
holiday,0.009333184542482203,0.002653959756966895,0.003221394760061323,0.05578007391338231
workingday,0.04745572382116345,0.027311059926480044,0.04139352658485163,0.04923050616998831
weathersit,0.07145422078904634,0.02917466229561845,0.03812782562289821,0.040043394521454695
mnth,0.0635868409197233,0.04845964243716658,0.03682484303420884,0.03241326421065422
hr,0.2663067063967253,0.5123862096728455,0.40553134503868377,0.3198398692232202
weekday,0.05876112391188373,0.01964311833641748,0.03777185139388431,0.0307528587867127
temp,0.12080572429481748,0.11086367359968415,0.1302856938855381,0.1026445595634831
atemp,0.04863897240974757,0.039779162994626915,0.033656594468620106,0.03790109898434904
hum,0.10390133755164027,0.057497096601703684,0.0667972509931981,0.05226607376071891
windspeed,0.035749620808900005,0.0061666423203257026,0.015929342003464464,0.015503106659296833
