dataset,bins,leaves,n_nodes,method,time_mean_s,time_std_s,time_min_s,time_max_s,n_repeats
bike_sharing,5,25,49,usefulness,0.0067783929011056895,7.640499553627552e-05,0.006693920000543585,0.006946872999833431,10
bike_sharing,5,25,49,permutation,0.21577167979958176,0.0022847573106660585,0.2133971669973107,0.2201362119994883,10
bike_sharing,5,25,49,shap,0.0012652741999772843,0.00012663299322098503,0.0011892849979631137,0.001632984000025317,10
bike_sharing,5,25,49,lime,0.7317299305006599,0.018147251039914828,0.6998212120015523,0.7652135770003952,10
bike_sharing,5,38,75,usefulness,0.011054546599189053,0.00018932480806181255,0.01082341099754558,0.011514797999552684,10
bike_sharing,5,38,75,permutation,0.2198383280003327,0.001226948705051876,0.21742663600161904,0.22167209300096147,10
bike_sharing,5,38,75,shap,0.0016746456996770576,8.995954101017894e-05,0.0015956690003804397,0.001911446001031436,10
bike_sharing,5,38,75,lime,0.7204944072993384,0.01158278011542724,0.6992656029979116,0.7412306969999918,10
bike_sharing,5,59,117,usefulness,0.018119153199586437,9.561583752801603e-05,0.018006438000156777,0.018268608997459523,10
bike_sharing,5,59,117,permutation,0.21624600340001052,0.0020727160898188434,0.21367143799943733,0.22113881199766183,10
bike_sharing,5,59,117,shap,0.0024352386000828117,4.478460123111631e-05,0.002366677999816602,0.0025207549988408573,10
bike_sharing,5,59,117,lime,0.720080614399194,0.012607319210752086,0.6988628940016497,0.7404723330000706,10
bike_sharing,5,90,179,usefulness,0.03104722629977914,0.0019125509617497725,0.029299324000021443,0.034954331000335515,10
bike_sharing,5,90,179,permutation,0.2330437908996828,0.013071583278266897,0.21627551299752668,0.25637550600004033,10
bike_sharing,5,90,179,shap,0.0037294344994734272,5.734348332426017e-05,0.003655628999695182,0.0038524609990417957,10
bike_sharing,5,90,179,lime,0.7611722195993934,0.026744455246654995,0.7097660950021236,0.7966370069989352,10
bike_sharing,5,138,275,usefulness,0.05557642209969345,0.017911387904264747,0.04835317999823019,0.1091682980004407,10
bike_sharing,5,138,275,permutation,0.22570493260027433,0.008978498200658394,0.21710055400035344,0.24753064199830987,10
bike_sharing,5,138,275,shap,0.006551597801080789,0.00037064087219132116,0.0060684560012305155,0.007152881000365596,10
bike_sharing,5,138,275,lime,0.7372090141001536,0.020679558558020058,0.7156904639996355,0.7829288010034361,10
bike_sharing,5,211,421,usefulness,0.08440558249967581,0.017837366951957076,0.07753065500219236,0.13785848299812642,10
bike_sharing,5,211,421,permutation,0.23600510400028724,0.017284351989321482,0.21993836799811106,0.2610491230007028,10
bike_sharing,5,211,421,shap,0.010196609698687098,0.0003499270884016443,0.009456929998123087,0.010783132998767542,10
bike_sharing,5,211,421,lime,0.7938923983001587,0.05987732515899744,0.71913366499939,0.8821858779992908,10
bike_sharing,5,323,645,usefulness,0.14103109679999762,0.0221040439372258,0.1280121540003165,0.18542641500243917,10
bike_sharing,5,323,645,permutation,0.2241129269994417,0.0029504562899275223,0.2196144279987493,0.2304184870008612,10
bike_sharing,5,323,645,shap,0.015015450299688381,0.00014341140347194468,0.014835204998234985,0.015337730997998733,10
bike_sharing,5,323,645,lime,0.7241709103000176,0.011880184826400112,0.7032798079999338,0.7375639259989839,10
bike_sharing,5,495,989,usefulness,0.2465381885998795,0.028834625789564805,0.2107626139986678,0.27579130999947665,10
bike_sharing,5,495,989,permutation,0.22652859820009325,0.0019428563687340567,0.22309100100028445,0.22932470700106933,10
bike_sharing,5,495,989,shap,0.026155317300072055,0.0002903800546733077,0.02572706800128799,0.026606055998854572,10
bike_sharing,5,495,989,lime,0.7300725474993669,0.009163561576704466,0.7134786379974685,0.7438165259991365,10
bike_sharing,5,758,1515,usefulness,0.4191983640001126,0.02792540745296991,0.39546993100157124,0.47465480499886326,10
bike_sharing,5,758,1515,permutation,0.2282820274002006,0.001645452910319741,0.22582879599940497,0.23020175200144877,10
bike_sharing,5,758,1515,shap,0.04320318779900845,0.0002850995037667354,0.04286749699895154,0.04377744999874267,10
bike_sharing,5,758,1515,lime,0.7357864526999037,0.008233420180804092,0.7197179459981271,0.7488767850009026,10
bike_sharing,5,1162,2323,usefulness,0.6774817530003929,0.0207932237291365,0.6595817870002065,0.7341530359990429,10
bike_sharing,5,1162,2323,permutation,0.2342562188994634,0.0037960483893939383,0.2303973469970515,0.24404425799730234,10
bike_sharing,5,1162,2323,shap,0.07365711229977023,0.0013232882043803726,0.07234620199960773,0.07711140000174055,10
bike_sharing,5,1162,2323,lime,0.7299064267004723,0.005371330936367255,0.7219078039997839,0.7379293689991755,10
bike_sharing,5,1780,3559,usefulness,1.0793319546002749,0.027351768537612696,1.032967335999274,1.1064106400008313,10
bike_sharing,5,1780,3559,permutation,0.23673466869986443,0.0026266498097189226,0.23471883299862384,0.2437934209992818,10
bike_sharing,5,1780,3559,shap,0.11860067650013661,0.0014739531137928422,0.11732706299881102,0.12193088500134763,10
bike_sharing,5,1780,3559,lime,0.7280148552003084,0.007524032408405707,0.7159032079980534,0.7389765450025152,10
bike_sharing,5,2727,5117,usefulness,1.6394794215993898,0.02263861379827308,1.607419331001438,1.6860312599965255,10
bike_sharing,5,2727,5117,permutation,0.24204735469975275,0.002261750002959466,0.23841049400289194,0.24572568599978695,10
bike_sharing,5,2727,5117,shap,0.17825654840053176,0.0016221479139089025,0.1768553050023911,0.18259703300282126,10
bike_sharing,5,2727,5117,lime,0.7275497187998553,0.006193776062863825,0.7172057399984624,0.7365088570004446,10
