method,n_instances,time_s
usefulness,25,0.38324653200106695
mdi,25,0.00011105700104963034
permutation,25,0.054330957998899976
shap,25,0.003516795997711597
lime,25,0.14019846399969538
usefulness,50,0.3831094060005853
mdi,50,0.00012016700202366337
permutation,50,0.05471558499993989
shap,50,0.006905406000441872
lime,50,0.2796819460018014
usefulness,100,0.4177457530022366
mdi,100,0.00014077800005907193
permutation,100,0.06162626899822499
shap,100,0.013963269997475436
lime,100,0.5940177459997358
usefulness,200,0.3497037220004131
mdi,200,0.00012209700071252882
permutation,200,0.06257489600102417
shap,200,0.027149548001034418
lime,200,1.169285847001447
usefulness,400,0.4204606849998527
mdi,400,0.00011584499952732585
permutation,400,0.06507053300083498
shap,400,0.05406838999988395
lime,400,2.3321760760009056
usefulness,800,0.4208590029993502
mdi,800,0.00012301300012040883
permutation,800,0.06766576299924054
shap,800,0.10743828499835217
lime,800,4.64506117399651
