method,budget,time_s,spearman_to_converged
shap,10.0,0.0018592500018712599,0.8531468531468532
shap,25.0,0.003576849998353282,0.9370629370629372
shap,50.0,0.006334133999189362,0.965034965034965
shap,100.0,0.01209080099943094,0.965034965034965
shap,200.0,0.02386301300066407,0.9930069930069931
shap,400.0,0.047087605998967774,1.0
permutation,1.0,0.018130191001546336,0.9720279720279721
permutation,2.0,0.032223457001236966,0.9580419580419581
permutation,5.0,0.07382044800033327,0.9930069930069931
permutation,10.0,0.14257221899970318,1.0
permutation,20.0,0.28142814000239014,1.0
permutation,50.0,0.7094371469975158,1.0
lime,10.0,0.06451821600057883,0.9440559440559443
lime,25.0,0.14317327800017665,0.9860139860139862
lime,50.0,0.27098102800300694,1.0
lime,100.0,0.5279006139971898,0.9860139860139862
lime,200.0,1.0450906740006758,0.9930069930069931
lime,400.0,2.0726775559996895,1.0
usefulness,,0.3947268140000233,1.0
mdi,,0.00011827200069092214,1.0
