dataset,strategy,bins,feature,q1,median,q3,mean_accuracy
bike_sharing,uniform,3,holiday,8690.0,11090.0,13602.5,0.8396140199462985
bike_sharing,uniform,3,windspeed,14602.5,24069.0,33961.5,0.8396140199462985
bike_sharing,uniform,3,atemp,20135.25,27804.0,35136.75,0.8396140199462985
bike_sharing,uniform,3,weekday,23143.5,32217.0,43009.5,0.8396140199462985
bike_sharing,uniform,3,mnth,30640.5,37674.0,44645.25,0.8396140199462985
bike_sharing,uniform,3,workingday,30363.0,39090.0,47892.5,0.8396140199462985
bike_sharing,uniform,3,hum,54304.5,64920.0,75630.0,0.8396140199462985
bike_sharing,uniform,3,weathersit,64000.0,71708.0,81408.0,0.8396140199462985
bike_sharing,uniform,3,yr,66639.0,73213.0,80860.5,0.8396140199462985
bike_sharing,uniform,3,season,82029.0,90396.0,97551.0,0.8396140199462985
bike_sharing,uniform,3,temp,114708.75,124770.0,137860.5,0.8396140199462985
bike_sharing,uniform,3,hr,167710.5,173881.5,180625.5,0.8396140199462985
bike_sharing,uniform,4,holiday,32472.0,56256.0,79216.0,0.8448379363252781
bike_sharing,uniform,4,atemp,98976.0,132096.0,161624.0,0.8448379363252781
bike_sharing,uniform,4,windspeed,132112.0,191480.0,260996.0,0.8448379363252781
bike_sharing,uniform,4,weekday,196736.0,276760.0,360710.0,0.8448379363252781
bike_sharing,uniform,4,mnth,281302.0,321008.0,362028.0,0.8448379363252781
bike_sharing,uniform,4,season,310412.0,351788.0,398354.0,0.8448379363252781
bike_sharing,uniform,4,weathersit,299779.0,354776.0,412344.0,0.8448379363252781
bike_sharing,uniform,4,workingday,318984.0,354852.0,393800.0,0.8448379363252781
bike_sharing,uniform,4,yr,566505.0,628114.0,668330.0,0.8448379363252781
bike_sharing,uniform,4,hum,589664.0,646200.0,695543.0,0.8448379363252781
bike_sharing,uniform,4,temp,1163359.0,1203496.0,1249116.0,0.8448379363252781
bike_sharing,uniform,4,hr,1463104.0,1517868.0,1575893.0,0.8448379363252781
bike_sharing,uniform,5,holiday,172360.0,269128.0,355321.0,0.8389691215957039
bike_sharing,uniform,5,windspeed,774215.0,1192250.0,1548385.0,0.8389691215957039
bike_sharing,uniform,5,weekday,1157810.0,1463535.0,1757031.25,0.8389691215957039
bike_sharing,uniform,5,weathersit,1243352.0,1497864.0,1721602.0,0.8389691215957039
bike_sharing,uniform,5,mnth,1455602.5,1664252.5,1870265.0,0.8389691215957039
bike_sharing,uniform,5,atemp,1426270.0,1922020.0,4481972.5,0.8389691215957039
bike_sharing,uniform,5,workingday,2062502.0,2200226.0,2344386.0,0.8389691215957039
bike_sharing,uniform,5,season,2164448.0,2433628.0,2735098.0,0.8389691215957039
bike_sharing,uniform,5,yr,2790095.0,2995768.0,3145186.5,0.8389691215957039
bike_sharing,uniform,5,temp,812020.0,3649345.0,4195971.25,0.8389691215957039
bike_sharing,uniform,5,hum,3508016.25,3773420.0,3997257.5,0.8389691215957039
bike_sharing,uniform,5,hr,8248067.5,8406580.0,8589225.0,0.8389691215957039
bike_sharing,uniform,6,holiday,616794.0,903636.0,1240416.0,0.8503313195243575
bike_sharing,uniform,6,windspeed,2824392.0,4009944.0,5334978.0,0.8503313195243575
bike_sharing,uniform,6,atemp,3868080.0,4629492.0,5494854.0,0.8503313195243575
bike_sharing,uniform,6,workingday,4342500.0,5236932.0,5991272.0,0.8503313195243575
bike_sharing,uniform,6,weekday,5322420.0,6399162.0,7478124.0,0.8503313195243575
bike_sharing,uniform,6,mnth,6203472.0,7205730.0,8049129.0,0.8503313195243575
bike_sharing,uniform,6,weathersit,7252804.0,8066752.0,8841228.0,0.8503313195243575
bike_sharing,uniform,6,season,7919640.0,8907104.0,9915592.0,0.8503313195243575
bike_sharing,uniform,6,yr,9733426.0,10413926.0,11031172.0,0.8503313195243575
bike_sharing,uniform,6,hum,10840638.0,11623842.0,12482905.5,0.8503313195243575
bike_sharing,uniform,6,temp,13394346.0,14315223.0,15163590.0,0.8503313195243575
bike_sharing,uniform,6,hr,29496271.5,30132492.0,30851349.0,0.8503313195243575
bike_sharing,uniform,8,holiday,4088120.0,5594232.0,7278056.0,0.8617539317222861
bike_sharing,uniform,8,atemp,23042752.0,27721040.0,33927646.0,0.8617539317222861
bike_sharing,uniform,8,workingday,31045195.0,34517736.0,37954071.0,0.8617539317222861
bike_sharing,uniform,8,windspeed,27314560.0,35039472.0,41455660.0,0.8617539317222861
bike_sharing,uniform,8,weathersit,31849520.0,37173644.0,41596146.0,0.8617539317222861
bike_sharing,uniform,8,weekday,33512276.0,39100264.0,44244235.0,0.8617539317222861
bike_sharing,uniform,8,season,36438265.0,44602964.0,56698308.0,0.8617539317222861
bike_sharing,uniform,8,mnth,41297824.0,46398720.0,52160400.0,0.8617539317222861
bike_sharing,uniform,8,yr,66701653.0,70964462.0,74540146.0,0.8617539317222861
bike_sharing,uniform,8,hum,77999896.0,84138212.0,89326284.0,0.8617539317222861
bike_sharing,uniform,8,temp,114752272.0,123661644.0,130057370.0,0.8617539317222861
bike_sharing,uniform,8,hr,187927316.0,192645900.0,197641510.0,0.8617539317222861
