dataset,strategy,bins_a,bins_b,spearman,rbo,top3_overlap
california,uniform,3,4,0.9047619047619048,0.9204079857142857,2
california,uniform,3,5,0.8571428571428572,0.9021829857142858,2
california,uniform,3,6,0.8571428571428572,0.9105664857142857,2
california,uniform,3,8,0.7142857142857144,0.9242194857142858,2
california,uniform,4,5,0.9761904761904763,0.981775,3
california,uniform,4,6,0.9761904761904763,0.9901584999999998,3
california,uniform,4,8,0.8333333333333335,0.9138115,3
california,uniform,5,6,0.9523809523809524,0.9719334999999999,3
california,uniform,5,8,0.8095238095238096,0.9138115,3
california,uniform,6,8,0.9047619047619048,0.9236530000000001,3
california,quantile,3,4,0.9047619047619048,0.9279999999999999,2
california,quantile,3,5,0.880952380952381,0.9148780000000001,2
california,quantile,3,6,0.880952380952381,0.9148780000000001,2
california,quantile,3,8,0.9047619047619048,0.9148780000000001,2
california,quantile,4,5,0.9761904761904763,0.986878,3
california,quantile,4,6,0.9761904761904763,0.986878,3
california,quantile,4,8,0.9523809523809524,0.941878,3
california,quantile,5,6,1.0,1.0,3
california,quantile,5,8,0.9761904761904763,0.955,3
california,quantile,6,8,0.9761904761904763,0.955,3
california,kmeans,3,4,0.8095238095238096,0.8923414857142857,2
california,kmeans,3,5,0.7857142857142858,0.8729335,1
california,kmeans,3,6,0.8571428571428572,0.9105664857142857,2
california,kmeans,3,8,0.9285714285714287,0.9547749999999999,2
california,kmeans,4,5,0.880952380952381,0.9555664857142857,2
california,kmeans,4,6,0.9047619047619048,0.9643414857142857,3
california,kmeans,4,8,0.9047619047619048,0.9375664857142857,3
california,kmeans,5,6,0.9047619047619048,0.9471829857142857,2
california,kmeans,5,8,0.9047619047619048,0.9181585000000001,2
california,kmeans,6,8,0.880952380952381,0.9193414857142858,3
