strategy,bins,feature,importance,std
uniform,3,MedInc,0.23091698383872267,0.018748104821431872
uniform,3,HouseAge,0.21574200232167576,0.035982784983120096
uniform,3,AveRooms,0.030613513178357813,0.013668191678057487
uniform,3,AveBedrms,0.009896773599845036,0.014299965544533635
uniform,3,Population,0.025045313740672707,0.012858517698232676
uniform,3,AveOccup,0.10335412267483607,0.0518483193530234
uniform,3,Latitude,0.22027510878135292,0.06560559214331536
uniform,3,Longitude,0.16415618186453695,0.030361103615261276
uniform,4,MedInc,0.32881683396391914,0.026885327279365993
uniform,4,HouseAge,0.09410431194581051,0.022570804973591596
uniform,4,AveRooms,0.02393965675410614,0.01918385616607866
uniform,4,AveBedrms,0.021450427009661936,0.017534746168614924
uniform,4,Population,0.0062076899655680905,0.0029365606180159604
uniform,4,AveOccup,0.03883749626929966,0.01746820548583636
uniform,4,Latitude,0.210368815133804,0.02143792207749379
uniform,4,Longitude,0.27627476895783065,0.015937506701447397
uniform,5,MedInc,0.2697925793478555,0.036447142712334686
uniform,5,HouseAge,0.09645368540584794,0.02087277248338739
uniform,5,AveRooms,0.027079053446549737,0.011971306780594371
uniform,5,AveBedrms,0.007488348074822153,0.009516956058086938
uniform,5,Population,0.006429725733520765,0.0023449651731463433
uniform,5,AveOccup,0.14926432410734436,0.07111537813846822
uniform,5,Latitude,0.2029460947541441,0.025283600300167797
uniform,5,Longitude,0.24054618912991535,0.040508585543049695
uniform,6,MedInc,0.23980364096918705,0.03166993346619585
uniform,6,HouseAge,0.18253552114951485,0.036637049785002776
uniform,6,AveRooms,0.03315992009904749,0.013676184571389709
uniform,6,AveBedrms,0.05206259380818681,0.05312850049295447
uniform,6,Population,0.011874350155777693,0.003894786396562536
uniform,6,AveOccup,0.06594379863244454,0.03816466253042561
uniform,6,Latitude,0.1962651911378009,0.03745728911442615
uniform,6,Longitude,0.21835498404804066,0.03797384991414194
uniform,8,MedInc,0.3106111741272073,0.039574490310498825
uniform,8,HouseAge,0.09193561116070711,0.017663558166974624
uniform,8,AveRooms,0.01954594744080812,0.013322206227769359
uniform,8,AveBedrms,0.09217874398757257,0.09095096899780988
uniform,8,Population,0.014695805013991809,0.0035890982047906647
uniform,8,AveOccup,0.08487621951336724,0.06615423762123634
uniform,8,Latitude,0.19752061098687684,0.059593652772309
uniform,8,Longitude,0.18863588776946894,0.05741158978672296
quantile,3,MedInc,0.2926633219287349,0.016706891611541912
quantile,3,HouseAge,0.11157360481132535,0.008900105501945296
quantile,3,AveRooms,0.0988199513049992,0.007763263059122252
quantile,3,AveBedrms,0.04421583559385759,0.006518446251845675
quantile,3,Population,0.05386742862972109,0.005444574096014092
quantile,3,AveOccup,0.14803744930032903,0.006825756963800717
quantile,3,Latitude,0.12276919019661973,0.010909665953092
quantile,3,Longitude,0.1280532182344131,0.01015432901269564
quantile,4,MedInc,0.28894261329726495,0.013593160430371563
quantile,4,HouseAge,0.09536395292374993,0.005597603194220091
quantile,4,AveRooms,0.09462096955142667,0.0065672146004765765
quantile,4,AveBedrms,0.0334870477277142,0.0039520825464203395
quantile,4,Population,0.038772632314609735,0.005594625503115561
quantile,4,AveOccup,0.14559741717980795,0.0063586123760501255
quantile,4,Latitude,0.15562340573923894,0.010126382750696668
quantile,4,Longitude,0.1475919612661876,0.00820003831341913
quantile,5,MedInc,0.2751918164258246,0.010976935719803061
quantile,5,HouseAge,0.08874120515405673,0.006321340181699503
