dataset,bins,strategy_a,strategy_b,spearman,rbo,top3_overlap
california,3,uniform,quantile,0.7619047619047621,0.8827750000000001,1
california,3,uniform,kmeans,0.9047619047619048,0.9375664857142857,3
california,3,quantile,kmeans,0.7142857142857144,0.8653414857142858,1
california,4,uniform,quantile,0.9285714285714287,0.9291829857142857,3
california,4,uniform,kmeans,0.880952380952381,0.9643414857142857,3
california,4,quantile,kmeans,0.9047619047619048,0.9375664857142857,3
california,5,uniform,quantile,0.9523809523809524,0.941878,3
california,5,uniform,kmeans,0.9523809523809524,0.9654079857142857,2
california,5,quantile,kmeans,0.880952380952381,0.9072859857142856,2
california,6,uniform,quantile,0.7142857142857144,0.8930974857142857,3
california,6,uniform,kmeans,0.8571428571428572,0.9694444857142857,3
california,6,quantile,kmeans,0.9047619047619048,0.9236530000000001,3
