dataset,strategy,bins,accuracy
california,uniform,3,0.6986797480620155
california,uniform,4,0.761845930232558
california,uniform,5,0.7959907945736435
california,uniform,6,0.7856589147286821
california,quantile,3,0.7944161821705427
california,quantile,4,0.8225048449612402
california,quantile,5,0.8274588178294575
california,quantile,6,0.8355014534883722
california,kmeans,3,0.7541182170542634
california,kmeans,4,0.8222625968992249
california,kmeans,5,0.8351623062015504
california,kmeans,6,0.8381298449612403
