dataset,bins,leaves,n_nodes,method,time_mean_s,time_std_s,time_min_s,time_max_s,n_repeats
california,5,25,49,usefulness,0.005304595000052359,0.0001523129807845743,0.005154290000064066,0.005603789999440778,10
california,5,25,49,permutation,0.11104734609943989,0.00861219667418457,0.1014489949993731,0.13080578200242599,10
california,5,25,49,shap,0.000888490700526745,2.6492707025086375e-05,0.000865317000716459,0.0009592040005372837,10
california,5,25,49,lime,0.4616984911994223,0.0308204200282932,0.43719189499825006,0.5489986520005914,10
california,5,38,75,usefulness,0.007271018000028562,0.00013390665679609046,0.006902610002725851,0.007431131001794711,10
california,5,38,75,permutation,0.09711644210001395,0.0009023638230988272,0.09608670799934771,0.09900230499988538,10
california,5,38,75,shap,0.001017339799727779,3.458598175716474e-05,0.0009744970011524856,0.0011078420029662084,10
california,5,38,75,lime,0.42439638580071914,0.013368574732323177,0.4150979180012655,0.4521959109988529,10
california,5,59,117,usefulness,0.012767423200784833,0.00011576641850490092,0.012627478001377312,0.013018267000006745,10
california,5,59,117,permutation,0.10614770779902756,0.000943838737635626,0.10468344100081595,0.1076715070012142,10
california,5,59,117,shap,0.0014965620004659286,3.458045843959417e-05,0.0014560430026904214,0.0015763310002512299,10
california,5,59,117,lime,0.4514666462000605,0.0010063365674994986,0.4501739830011502,0.45301170599850593,10
california,5,90,179,usefulness,0.019883788199149422,0.00014600452061745337,0.019677935000800062,0.020186112997180317,10
california,5,90,179,permutation,0.10668243870022706,0.0011591040563403263,0.10517654199793469,0.10923674999867217,10
california,5,90,179,shap,0.002095704199746251,4.457964463518904e-05,0.0020275009992474224,0.0021652659997926094,10
california,5,90,179,lime,0.4491928488998383,0.0008321224676949792,0.44812800900035654,0.45097086199893965,10
california,5,138,275,usefulness,0.030443423699034612,0.00017917855827070866,0.030229521998990094,0.030745928997930605,10
california,5,138,275,permutation,0.106479505700554,0.0015263589318850956,0.10471569700166583,0.10991013799866778,10
california,5,138,275,shap,0.0031797627005289543,6.961078996765187e-05,0.003111426001851214,0.003354697000759188,10
california,5,138,275,lime,0.4508518116999767,0.000854197427825779,0.4494610920010018,0.4519549670003471,10
california,5,211,377,usefulness,0.04184291539932019,0.0002112795555177719,0.04164365199903841,0.04235008600153378,10
california,5,211,377,permutation,0.10760549089900451,0.000940840924780768,0.1068455519998679,0.10959152299983543,10
california,5,211,377,shap,0.0041889924003044145,7.217273437648111e-05,0.0040637439997226465,0.004289791999326553,10
california,5,211,377,lime,0.44917490069965427,0.0020285715004589714,0.44729205399926286,0.45495882499744766,10
california,5,323,377,usefulness,0.04823263940052129,0.019184137477876836,0.04171278899957542,0.10578380299921264,10
california,5,323,377,permutation,0.10755094200030726,0.0007730717153160087,0.10647461999906227,0.10885541800234932,10
california,5,323,377,shap,0.0041934755994589065,3.878924082027725e-05,0.004105366999283433,0.004237938999722246,10
california,5,323,377,lime,0.4494669926003553,0.003349296784841409,0.4471134180021181,0.45905421399947954,10
california,5,495,377,usefulness,0.04842021120020945,0.019078265664707106,0.04159275200072443,0.10564990499915439,10
california,5,495,377,permutation,0.10767209490040841,0.0005010804690031935,0.106732619999093,0.1083753839993733,10
california,5,495,377,shap,0.004156434499964235,4.097406796375109e-05,0.004092914998182096,0.004222875999403186,10
california,5,495,377,lime,0.4512311595997744,0.0009845528407827061,0.449925113000063,0.45339703299760004,10
california,5,758,377,usefulness,0.0420727122003882,0.0008608565940132022,0.04159806199822924,0.04461361500216299,10
california,5,758,377,permutation,0.10684326430018701,0.0013530636148737782,0.1050863099990238,0.10951387100067222,10
california,5,758,377,shap,0.004123777599306777,6.0210179668424244e-05,0.004030934000184061,0.0042436420008016285,10
california,5,758,377,lime,0.44720080210026936,0.0014437762468126243,0.4454815860008239,0.44950055300068925,10
california,5,1162,377,usefulness,0.04781967409981007,0.018799176869033086,0.041256206000980455,0.10421142999985022,10
california,5,1162,377,permutation,0.10687458209940814,0.0010187101435818714,0.10554603600030532,0.10938088200055063,10
california,5,1162,377,shap,0.004134092499225517,2.9800596337724175e-05,0.004095858999789925,0.004181230000540381,10
california,5,1162,377,lime,0.4520024381999974,0.0014357307528573568,0.45015708900245954,0.45412147699971683,10
california,5,1780,377,usefulness,0.04172929960113834,0.00025447884954612934,0.04142347399829305,0.042249737001839094,10
california,5,1780,377,permutation,0.10702040909964125,0.0006504241877348138,0.10604541099746712,0.10824251500162063,10
california,5,1780,377,shap,0.004155849600283546,4.221453226782536e-05,0.004081189999851631,0.004209009999613045,10
california,5,1780,377,lime,0.4479790284000046,0.0009186026393857227,0.44683515900032944,0.4499285300007614,10
california,5,2727,377,usefulness,0.048042861000431,0.018874162908229037,0.0413217759996769,0.10465869700055919,10
california,5,2727,377,permutation,0.10739010279939976,0.0007460003123684564,0.10586061499998323,0.10826738999821828,10
california,5,2727,377,shap,0.004125458200360299,2.8216376200062403e-05,0.004059828999743331,0.004172675999143394,10
california,5,2727,377,lime,0.44523411440022753,0.020465312279074607,0.40954764900016016,0.47122165999826393,10
california,5,4178,377,usefulness,0.038555173900022055,0.00027081824395200257,0.038214477001019986,0.0391763469997386,10
california,5,4178,377,permutation,0.0959245436006313,0.0004846563925851617,0.0952305749997322,0.09703080499821226,10
california,5,4178,377,shap,0.003793254799529677,5.771809173374309e-05,0.0036811529971600976,0.003867818999424344,10
california,5,4178,377,lime,0.5446981156997935,0.10198061673841652,0.41421265399912954,0.728223018002609,10
california,5,6400,377,usefulness,0.04940869490019395,0.02559414873848536,0.03830665900022723,0.12606927399974666,10
california,5,6400,377,permutation,0.10404450300047756,0.0025819047634470463,0.10074128199994448,0.10938358699786477,10
california,5,6400,377,shap,0.0041440976994636,0.00011993182038276347,0.003959853998821927,0.004290410997782601,10
california,5,6400,377,lime,0.5111911191994295,0.07304765765036697,0.4564812049975444,0.6790838390006684,10
