method,n_instances,time_s
usefulness,25,0.07873306599867647
mdi,25,7.025299782981165e-05
permutation,25,0.03934940399994957
shap,25,0.0013703410004382022
lime,25,0.12134060700191185
usefulness,50,0.07843768000020646
mdi,50,5.922600030316971e-05
permutation,50,0.03951909400348086
shap,50,0.0020900760027871
lime,50,0.2297643589990912
usefulness,100,0.14932524799951352
mdi,100,0.00010709799971664324
permutation,100,0.03957272700063186
shap,100,0.003519197998684831
lime,100,0.4509792639983061
usefulness,200,0.07933325299745775
mdi,200,6.71419984428212e-05
permutation,200,0.04133213400200475
shap,200,0.006505000998004107
lime,200,0.8955801020019862
usefulness,400,0.07933563700134982
mdi,400,6.41939986962825e-05
permutation,400,0.041724583999894094
shap,400,0.012320232999627478
lime,400,1.782911440001044
usefulness,800,0.0795717369983322
mdi,800,7.630699838045985e-05
permutation,800,0.04297020700323628
shap,800,0.024088063000817783
lime,800,3.5335316769997007
