dataset,bins,strategy,n_features,n_nodes,max_depth,accuracy,entity_space_log10,time_total_s,time_per_feature_s,sweep
california,3,uniform,8,125,9,0.6937984496124031,3.8169700377572995,0.006917142000020249,0.0008646427500025311,bins
california,4,uniform,8,205,11,0.7587209302325582,4.3167249841904995,0.014043768000192358,0.0017554710000240448,bins
california,5,uniform,8,377,12,0.7936046511627907,5.176091259055681,0.037449498000114545,0.004681187250014318,bins
california,6,uniform,8,573,16,0.7790697674418605,5.714664992862537,0.06737688700013678,0.008422110875017097,bins
california,5,uniform,8,99,10,0.7948158914728682,5.176091259055681,0.009125207000124647,0.0011406508750155808,leaves
california,5,uniform,8,199,11,0.7943313953488372,5.176091259055681,0.01905368500001714,0.0023817106250021425,leaves
california,5,uniform,8,377,12,0.7936046511627907,5.176091259055681,0.03790625200008435,0.004738281500010544,leaves
california,5,uniform,8,377,12,0.7936046511627907,5.176091259055681,0.033546277999903396,0.0041932847499879244,leaves
california,5,uniform,8,377,12,0.7936046511627907,5.176091259055681,0.03367399299986573,0.0042092491249832165,leaves
california,5,uniform,8,377,12,0.7936046511627907,5.176091259055681,0.03368277299978217,0.004210346624972772,leaves
california,5,uniform,8,377,12,0.7936046511627907,5.176091259055681,0.033609305000027234,0.004201163125003404,leaves
california,5,uniform,8,377,12,0.7936046511627907,5.176091259055681,0.03348936099973798,0.004186170124967248,leaves
