method,budget,time_s,spearman_to_converged
shap,10.0,0.0008552710023650434,0.9285714285714287
shap,25.0,0.001245128001755802,0.9761904761904763
shap,50.0,0.001977527997951256,1.0
shap,100.0,0.003464097000687616,1.0
shap,200.0,0.006399453999620164,0.9761904761904763
shap,400.0,0.012381791999359848,1.0
permutation,1.0,0.014196518000971992,0.9442278671275492
permutation,2.0,0.024581762998423073,0.9442278671275492
permutation,5.0,0.05605223000020487,0.981761387347632
permutation,10.0,0.1087864039982378,0.981761387347632
permutation,20.0,0.2076274969986116,0.9999999999999998
permutation,50.0,0.4592049009988841,0.9999999999999998
lime,10.0,0.049049967998143984,0.9523809523809524
lime,25.0,0.10820096699899295,1.0
lime,50.0,0.20548040399808087,1.0
lime,100.0,0.4184205789970292,1.0
lime,200.0,0.8840654279993032,1.0
lime,400.0,1.7645720859982248,1.0
usefulness,,0.07011357900046278,1.0
mdi,,6.788700193283148e-05,1.0
