dataset,strategy,bins,feature,q1,median,q3,mean_accuracy
california,uniform,3,AveBedrms,0.0,0.0,216.0,0.6989014050387597
california,uniform,3,Population,243.0,405.0,486.0,0.6989014050387597
california,uniform,3,AveRooms,324.0,486.0,567.0,0.6989014050387597
california,uniform,3,AveOccup,1296.0,1782.0,2268.0,0.6989014050387597
california,uniform,3,Longitude,2133.0,2376.0,2754.0,0.6989014050387597
california,uniform,3,Latitude,2565.0,2997.0,3989.25,0.6989014050387597
california,uniform,3,HouseAge,2835.0,3321.0,3699.0,0.6989014050387597
california,uniform,3,MedInc,3267.0,3483.0,3726.0,0.6989014050387597
california,uniform,4,Population,189.0,270.0,351.0,0.7598227551679586
california,uniform,4,AveBedrms,135.0,540.0,1971.0,0.7598227551679586
california,uniform,4,AveRooms,270.0,634.5,2160.0,0.7598227551679586
california,uniform,4,AveOccup,2187.0,2268.0,2268.0,0.7598227551679586
california,uniform,4,HouseAge,3888.0,4428.0,5268.0,0.7598227551679586
california,uniform,4,Latitude,9216.0,9894.0,10518.0,0.7598227551679586
california,uniform,4,Longitude,12444.0,13128.0,13680.0,0.7598227551679586
california,uniform,4,MedInc,15120.0,15552.0,16020.0,0.7598227551679586
california,uniform,5,Population,1737.0,2208.0,2880.0,0.7938166182170543
california,uniform,5,AveBedrms,240.0,3270.0,5235.0,0.7938166182170543
california,uniform,5,AveRooms,5076.0,7218.0,10149.0,0.7938166182170543
california,uniform,5,HouseAge,28660.0,32700.0,37500.0,0.7938166182170543
california,uniform,5,AveOccup,58560.0,66240.0,70560.0,0.7938166182170543
california,uniform,5,Latitude,66588.75,70397.5,74655.0,0.7938166182170543
california,uniform,5,Longitude,75945.0,80442.5,88755.0,0.7938166182170543
california,uniform,5,MedInc,91515.0,96760.0,101815.0,0.7938166182170543
california,uniform,6,Population,12100.0,14800.0,17800.0,0.7858115310077519
california,uniform,6,AveBedrms,33600.0,45200.0,64420.0,0.7858115310077519
california,uniform,6,AveRooms,30860.0,47120.0,63740.0,0.7858115310077519
california,uniform,6,AveOccup,82700.0,107600.0,135400.0,0.7858115310077519
california,uniform,6,Latitude,220830.0,257280.0,300432.0,0.7858115310077519
california,uniform,6,HouseAge,232470.0,266460.0,286950.0,0.7858115310077519
california,uniform,6,Longitude,281442.0,314292.0,355992.0,0.7858115310077519
california,uniform,6,MedInc,301188.0,321168.0,339607.5,0.7858115310077519
california,uniform,8,AveRooms,58250.0,102420.0,236525.0,0.7979170704134367
california,uniform,8,Population,90663.0,105504.0,116442.0,0.7979170704134367
california,uniform,8,AveBedrms,85920.0,251556.0,1169293.5,0.7979170704134367
california,uniform,8,HouseAge,550144.0,626896.0,756256.0,0.7979170704134367
california,uniform,8,AveOccup,239490.0,925740.0,1141290.0,0.7979170704134367
california,uniform,8,Latitude,928324.0,1091376.0,2067016.0,0.7979170704134367
california,uniform,8,Longitude,929860.0,1353632.0,1804256.0,0.7979170704134367
california,uniform,8,MedInc,2099062.0,2220276.0,2331100.0,0.7979170704134367
